Author,Posts,Name,URL,Notes,,
fry            ,1371,Ben Fry,http://acg.media.mit.edu/people/fry/,,,
arielm         ,562,,http://www.chronotext.org,,,
benelek        ,560,Jacob Schwartz,http://www.benelek.cjb.net/,???,,
REAS           ,510,Casey Reas,http://reas.com,,,
Martin         ,412,,http://decode.ateneo.edu/martin/,,,
mKoser         ,305,,,???,,
TomC           ,270,,,???,,
fjen           ,254,,http://www.florianjenett.de/p55/,,,
flight404,243,,http://www.flight404.com,,,
skloopy        ,216,,http://elfman.vendetta.com/ryan,,,
toxi           ,194,,,Probably toxi - toxiclibs,,
Koenie,185,,http://koeniedesign.com,,,
amoeba,173,,http://www.unlekker.net/,,,
pitaru,165,,http://pitaru.com,,,
rgovostes,143,,,???,,
kevinP,140,,,???,,
st33d,140,,http://www.robotacid.com,,,
Glen Murphy,133,Glen Murphy,http://glenmurphy.com/,,,
mflux,127,,http://www.design.ucla.edu/~mflux,,,
pollux,103,,http://www.frwrd.net,,,
