category,authorList,name,sentence,url,prettyVersion,paragraph,version,download,timestamp,type,id,imports,removed_at
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.0,Main features include: 1. Default interactivity through the mouse and,5,http://otrolado.info/proscene.zip,1319606442,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.90,Main features include: 1. Default interactivity through the mouse and,6,http://otrolado.info/proscene.zip,1334284872,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.90,Main features include: 1. Default interactivity through the mouse and,7,http://otrolado.info/proscene.zip,1337790809,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.92,Main features include: 1. Default interactivity through the mouse and,9,http://otrolado.info/proscene.zip,1348434996,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.93,"Main features include: 1. Default interactivity through the mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",10,http://otrolado.info/proscene.zip,1349452872,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.94,"Main features include: 1. Default interactivity through the mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",11,http://otrolado.info/proscene.zip,1354039829,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.95,"Main features include: 1. Default interactivity through the mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",12,http://otrolado.info/proscene.zip,1355235157,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.96,"Main features include: 1. Default interactivity through the mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",13,http://otrolado.info/proscene.zip,1355955708,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.1.97,"Main features include: 1. Default interactivity through the mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",14,http://otrolado.info/proscene.zip,1370443575,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info/),ProScene,Highly customizable and full featured yet simple to use camera library.,http://code.google.com/p/proscene/,1.2.0,"Main features include: 1. Default interactivity through the mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",15,http://otrolado.info/proscene.zip,1374596598,library,001,,
3D,[Jean Pierre Charalambos](http://otrolado.info),proscene,Library that eases the creation of interactive scenes.,http://otrolado.info,2.0.0,"Main features include: 1. Default interactivity throughthe mouse and keyboard that simply does what you expect; 2. Generic suppport for Human Interface Devices; 3. Arcball, walkthrough and third person camera modes; 4. Hierarchical coordinate systems (frames), with functions to convert between them; 5. Coordinate systems can easily be moved with the mouse. 6. Keyframes; 7. Object picking; 8. Keyboard shortcuts and camera profiles customization; 8. Animation framework; 9. Screen drawing; and, 10. Off-screen rendering mode support.",16,http://otrolado.info/proscene.zip,1402241563,library,001,,
Simulation,[Carl-Johan Rosén](http://www.carljohanrosen.com),Cell Noise,Algorithm for generating cell/worley noise.,http://www.carljohanrosen.com/processing/,1.0,These patterns are useful in animation and more.,1,http://www.carljohanrosen.com/processing/images/cellnoise-latest.zip,1319606442,library,002,,1397830832
Animation,[Benedikt Gross](http://www.looksgood.de/),Ani,A lightweight library for creating animations and transitions.,http://www.looksgood.de/libraries/Ani/,2.0,,2,http://www.looksgood.de/libraries/Ani/Ani-latest.zip,1319606442,library,003,,
Animation,[Benedikt Gross](http://www.looksgood.de/),Ani,A lightweight library for creating animations and transitions.,http://www.looksgood.de/libraries/Ani/,2.1,,3,http://www.looksgood.de/libraries/Ani/Ani-latest.zip,1325870004,library,003,,
Animation,[Benedikt Gross](http://www.looksgood.de/),Ani,A lightweight library for creating animations and transitions.,http://www.looksgood.de/libraries/Ani/,2.2,,4,http://www.looksgood.de/libraries/Ani/Ani-latest.zip,1337790809,library,003,,
Animation,[Benedikt Gross](http://www.looksgood.de/),Ani,A lightweight library for creating animations and transitions.,http://www.looksgood.de/libraries/Ani/,2.4,,6,http://www.looksgood.de/libraries/Ani/Ani-latest.zip,1352479566,library,003,,
Animation,[Benedikt Gross](http://www.looksgood.de/),Ani,A lightweight library for creating animations and transitions.,http://www.looksgood.de/libraries/Ani/,2.5,,7,http://www.looksgood.de/libraries/Ani/Ani-latest.zip,1363296303,library,003,,
Compilation,[Jo Wood](http://gicentre.org/) and [Aidan Slingsby](http://gicentre.org/),gicentreUtils,Assists creation of data visualization sketches.,http://www.gicentre.org/utils/,3.2.0,"Includes color utilities, statistical graphics, morphing classes, spatial utilities and map projections, text input/output and multi-sketch tools. Together these make the task of creating data visualization sketches much faster by providing code for commonly repeated tasks such as zooming in and out of a sketch, setting up color tables etc. For documentation and examples, see the [gicentreUtils pages](http://www.gicentre.org/utils/).",12,http://www.gicentre.org/utils/gicentreUtils.zip,1319606442,library,004,,
Compilation,[Jo Wood](http://gicentre.org/) and [Aidan Slingsby](http://gicentre.org/),gicentreUtils,Assists creation of data visualization sketches.,http://www.gicentre.org/utils/,3.3.0,"Includes color utilities, statistical graphics, morphing classes, spatial utilities and map projections, text input/output and multi-sketch tools. Together these make the task of creating data visualization sketches much faster by providing code for commonly repeated tasks such as zooming in and out of a sketch, setting up color tables etc. For documentation and examples, see the [gicentreUtils pages](http://www.gicentre.org/utils/).",13,http://www.gicentre.org/utils/gicentreUtils.zip,1365954933,library,004,,
Utilities,[Michael Krumpus](http://nootropicdesign.com/),Layers,Create sketches with multiple layers that are drawn independently of one another.,http://nootropicdesign.com/processing-layers/,1.2,,2,http://nootropicdesign.com/processing-layers/downloads/layers.zip,1319606442,library,005,,1361901672
I/O,[Markus Zimmermann](http://www.die-seite.ch/),Collada Loader for Google Sketchup,imports into Processing kmz or dae files that is created by Google Sketchup 8,http://www.die-seite.ch/,1.1,For error free working take a look to the [instructions](http://die-seite.ch/?colladaloader) or [forum](http://die-seite.ch/?guest&thema=colladaloader),11,http://www.die-seite.ch/colladaLoader11.zip,1319606442,library,006,,
I/O,[Markus Zimmermann](http://www.die-seite.ch/),Collada Loader for Google Sketchup,Importer for kmz and dae files created by Google Sketchup 8.0.16846 (latest Version) into Processing 2.0,http://www.die-seite.ch/,1.3,The library is tested for Sketchup 8.0.16846. Dae or kmz files created by other versions may contain anomalous structures hence the importer will crash. Note: sketchup files must be prepared referred to the tutorial page. (see to the [tutorial page](http://die-seite.ch/?colladaloader) and [trouble forum](http://die-seite.ch/?guest&thema=colladaloader).),14,http://www.die-seite.ch/colladaLoader.zip,1370443575,library,006,,
Compilation,Hartmut Bohnacker and Benedikt Gross,GenerativeDesign,Compilation of various functions belonging to the book GENERATIVE GESTALTUNG (german version) and DESIGN GENERATIF (french version).,http://www.generative-gestaltung.de/,1.03,"It supplies classes and functions for 3d-surfaces, simple physics (nodes, springs, attractors), graphic tablets, ASE-export or asynchronous loading of xml, html and images.",4,http://www.generative-gestaltung.de/downloads/generativedesign.zip,1319606442,library,007,,
Compilation,Hartmut Bohnacker and Benedikt Gross,GenerativeDesign,Compilation of various functions belonging to the book GENERATIVE GESTALTUNG (german version) and DESIGN GENERATIF (french version).,http://www.generative-gestaltung.de/,1.04,"It supplies classes and functions for 3d-surfaces, simple physics (nodes, springs, attractors), graphic tablets, ASE-export or asynchronous loading of xml, html and images.",5,http://www.generative-gestaltung.de/downloads/generativedesign.zip,1352479566,library,007,,
Compilation,Hartmut Bohnacker and Benedikt Gross,GenerativeDesign,"Compilation of various functions belonging to the book GENERATIVE DESIGN (english), GENERATIVE GESTALTUNG (german) and DESIGN GENERATIF (french).",http://www.generative-gestaltung.de/,1.0.5,"It supplies classes and functions for 3d-surfaces, simple physics (nodes, springs, attractors), graphic tablets, ASE-export or asynchronous loading of xml, html and images.",6,http://www.generative-gestaltung.de/downloads/GenerativeDesign.zip,1372724271,library,007,,
